RELIANCE Historical Data,RELIANCE Historical Data,RELIANCE Historical Data,RELIANCE Historical Data,RELIANCE Historical Data,RELIANCE Historical Data,RELIANCE Historical Data
Download Now  View Chart,Download Now  View Chart,Download Now  View Chart,Download Now  View Chart,Download Now  View Chart,Download Now  View Chart,Download Now  View Chart
Equitypandit Financial Services Pvt. Ltd.,Equitypandit Financial Services Pvt. Ltd.,Equitypandit Financial Services Pvt. Ltd.,Equitypandit Financial Services Pvt. Ltd.,Equitypandit Financial Services Pvt. Ltd.,Equitypandit Financial Services Pvt. Ltd.,Equitypandit Financial Services Pvt. Ltd.
Date,Price,Open,High,Low,Volume,Change(%)
08 May 2026,1435.2,1426.0,1442.8,1417.5,8663105,-0.07%
07 May 2026,1436.2,1438.8,1449.5,1430.3,19816903,-0.12%
06 May 2026,1437.9,1463.0,1473.3,1427.5,14221786,-1.76%
05 May 2026,1463.6,1460.0,1473.4,1450.0,23543341,0.03%
04 May 2026,1463.1,1433.4,1467.4,1433.4,24035700,2.26%
30 Apr 2026,1430.8,1409.0,1437.0,1393.1,30957881,0.38%
29 Apr 2026,1425.4,1392.0,1433.8,1391.3,30542143,2.63%
28 Apr 2026,1388.9,1358.0,1395.2,1357.0,41027699,1.69%
27 Apr 2026,1365.8,1313.0,1371.6,1311.0,24673098,2.86%
24 Apr 2026,1327.8,1340.0,1345.9,1325.0,11744802,-1.16%
23 Apr 2026,1343.4,1346.0,1355.5,1340.7,16385079,-1.37%
22 Apr 2026,1362.1,1350.3,1366.0,1349.1,9525953,0.65%
21 Apr 2026,1353.3,1359.0,1369.8,1350.1,27293629,-0.73%
20 Apr 2026,1363.3,1363.2,1373.0,1352.8,13614733,-0.12%
17 Apr 2026,1365.0,1340.0,1368.4,1340.0,13869105,1.62%
16 Apr 2026,1343.3,1352.0,1353.8,1330.0,30211012,-0.06%
15 Apr 2026,1344.1,1337.0,1347.0,1334.2,15313779,2.21%
13 Apr 2026,1315.1,1321.2,1327.6,1310.0,28753269,-2.60%
10 Apr 2026,1350.2,1337.0,1352.3,1331.5,19364461,1.52%
09 Apr 2026,1330.0,1346.0,1350.0,1326.3,20725390,-1.32%
08 Apr 2026,1347.8,1349.0,1350.6,1326.2,21817543,3.31%
07 Apr 2026,1304.6,1295.0,1308.3,1291.0,28388922,-0.01%
06 Apr 2026,1304.7,1359.0,1359.0,1290.0,29274881,-3.39%
02 Apr 2026,1350.5,1357.0,1358.2,1328.0,21280051,-1.37%
01 Apr 2026,1369.2,1384.2,1384.4,1362.9,14404619,1.88%
30 Mar 2026,1343.9,1335.0,1365.0,1334.1,24393861,-0.31%
27 Mar 2026,1348.1,1401.0,1404.7,1345.0,23266517,-4.60%
25 Mar 2026,1413.1,1420.0,1430.5,1408.4,19041331,0.09%
24 Mar 2026,1411.8,1420.0,1422.4,1406.6,18620893,0.28%
23 Mar 2026,1407.8,1400.0,1415.6,1391.0,18979554,-0.47%
20 Mar 2026,1414.4,1398.0,1430.0,1396.1,22994918,2.14%
19 Mar 2026,1384.8,1388.0,1415.7,1376.1,16498373,-1.65%
18 Mar 2026,1408.1,1397.2,1412.9,1397.2,9559327,0.75%
17 Mar 2026,1397.6,1399.0,1405.9,1388.2,19007744,0.18%
16 Mar 2026,1395.1,1380.0,1397.3,1363.5,22837802,1.04%
13 Mar 2026,1380.7,1385.2,1400.8,1378.4,17265090,-0.83%
12 Mar 2026,1392.2,1390.0,1410.9,1381.1,20939959,0.14%
11 Mar 2026,1390.2,1424.9,1434.0,1383.6,21848087,-1.32%
10 Mar 2026,1408.8,1430.6,1431.5,1400.6,18071259,-1.07%
09 Mar 2026,1424.0,1375.0,1429.4,1370.0,24870822,1.37%
06 Mar 2026,1404.8,1396.5,1424.3,1390.3,19311971,1.11%
05 Mar 2026,1389.4,1353.1,1399.0,1353.1,25957532,3.30%
04 Mar 2026,1345.0,1330.0,1352.8,1307.0,32495007,-0.96%
02 Mar 2026,1358.0,1375.5,1378.6,1341.5,23728722,-2.58%
27 Feb 2026,1393.9,1398.0,1410.4,1388.1,12031440,-0.92%
26 Feb 2026,1406.8,1398.5,1412.9,1391.9,16683858,0.59%
25 Feb 2026,1398.5,1435.0,1440.5,1393.5,10728792,-2.12%
24 Feb 2026,1428.8,1425.3,1433.3,1415.0,12529409,0.06%
23 Feb 2026,1428.0,1425.0,1434.9,1418.3,7758856,0.61%
20 Feb 2026,1419.4,1409.5,1427.4,1406.1,8177670,0.70%
19 Feb 2026,1409.5,1443.0,1443.0,1400.0,11884664,-2.21%
18 Feb 2026,1441.3,1427.0,1442.1,1419.2,5521096,1.29%
17 Feb 2026,1423.0,1431.1,1431.8,1418.6,10731630,-0.98%
16 Feb 2026,1437.1,1420.1,1439.6,1409.3,5896514,1.23%
13 Feb 2026,1419.6,1445.5,1450.7,1416.3,10755693,-2.02%
12 Feb 2026,1448.9,1470.0,1473.0,1445.5,11135399,-1.35%
11 Feb 2026,1468.7,1459.6,1470.0,1453.6,7106877,0.70%
10 Feb 2026,1458.5,1471.0,1471.0,1452.2,10259630,-0.21%
09 Feb 2026,1461.6,1458.0,1465.9,1453.0,5775864,0.74%
06 Feb 2026,1450.8,1441.5,1452.8,1433.5,8277304,0.51%
05 Feb 2026,1443.4,1457.0,1461.5,1439.5,11763658,-0.92%
04 Feb 2026,1456.8,1444.0,1464.0,1440.3,8333387,1.37%
03 Feb 2026,1437.1,1473.9,1489.5,1430.2,25456171,3.36%
02 Feb 2026,1390.4,1340.0,1392.9,1335.5,15711165,3.22%
